2017.09.05 (248) 00:15:00.000
Station name: Grahamstown
URSI code: GR13L
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 2.000  822.5  90  36  42   3.906   0.0   0.0  822
 2.000  287.5 -90  36  48  -0.781   0.0   0.0  296
 2.000  290.0 -90  36  57   0.781   0.0   0.0  295
 2.000  292.5 -90  36  54   0.781   0.0   0.0  296
 2.000  322.5 -90  36  42  -0.781   0.0   0.0  334
 2.000  372.5 -90  36  42   2.344   0.0   0.0  370
 2.000  402.5 -90  36  42  -3.906   0.0   0.0  401
 2.000  585.0 -90  36  45  -0.781   0.0   0.0  589
 2.000  590.0 -90  36  45   0.781   0.0   0.0  596
 2.000  592.5 -90  36  48  -0.781   0.0   0.0  598
 2.000  595.0 -90  36  45  -0.781   0.0   0.0  597
 2.000 1192.5 -90  36  42   0.781   0.0   0.0 1195
 2.025  295.0  90  39  57   0.781   0.0   0.0  302
 2.025  297.5  90  39  57  -0.781   0.0   0.0  302
 2.025  302.5  90  39  45  -0.781   0.0   0.0  308
 2.025  597.5  90  39  60   0.781   0.0   0.0  603
 2.025  600.0  90  39  57   0.781   0.0   0.0  604
 2.025  602.5  90  39  51  -0.781   0.0   0.0  606
 2.025  605.0  90  39  45   0.781   0.0   0.0  606
 2.025  880.0  90  39  45   3.906   0.0   0.0  886
 2.025  287.5 -90  39  51  -0.781   0.0   0.0  296
 2.025  290.0 -90  39  57   0.781   0.0   0.0  295
 2.025  292.5 -90  39  51   0.781   0.0   0.0  295
 2.025  587.5 -90  39  48   0.781   0.0   0.0  593
 2.050  250.0  90  39  45   2.344   0.0   0.0  238
 2.050  295.0  90  39  57   0.781   0.0   0.0  302
 2.050  297.5  90  39  63   0.781   0.0   0.0  302
 2.050  300.0  90  39  60   0.781   0.0   0.0  303
 2.050  597.5  90  39  54   0.781   0.0   0.0  604
 2.050  600.0  90  39  60   0.781   0.0   0.0  605
 2.050  602.5  90  39  60   0.781   0.0   0.0  604
 2.050  605.0  90  39  48   0.781   0.0   0.0  605
 2.050  700.0  90  39  45  -0.781   0.0   0.0  708
 2.050  192.5 -90  39  45   3.906   0.0   0.0  187
 2.050  290.0 -90  39  60   0.781   0.0   0.0  296
 2.050  292.5 -90  39  60   0.781   0.0   0.0  297
 2.050  590.0 -90  39  48   0.781   0.0   0.0  593
 2.050  720.0 -90  39  45  -3.906   0.0   0.0  715
 2.050  922.5 -90  39  45   5.469   0.0   0.0  930
 2.050  927.5 -90  39  45   5.469   0.0   0.0  914
 2.075  297.5  90  45  57   0.781   0.0   0.0  304
 2.075  300.0  90  45  60  -0.781   0.0   0.0  305
 2.075  602.5  90  45  57   0.781   0.0   0.0  609
 2.075  605.0  90  45  51   0.781   0.0   0.0  610
 2.075  290.0 -90  45  57   0.781   0.0   0.0  297
 2.075  292.5 -90  45  60   0.781   0.0   0.0  297
 2.075  625.0 -90  45  54   0.781   0.0   0.0  612
 2.075  922.5 -90  45  51   0.781   0.0   0.0  929
 2.100  300.0  90  36  57   0.781   0.0   0.0  306
 2.100  302.5  90  36  57   0.781   0.0   0.0  306
