2017.09.05 (248) 12:30:00.000
Station name: Grahamstown
URSI code: GR13L
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 2.175   90.0  90  42  57   2.344  30.0  30.0   84
 2.175   92.5  90  42  57   2.344 210.0  30.0   87
 2.175   95.0  90  42  57   2.344 210.0  30.0   89
 2.175   97.5  90  42  60   2.344  30.0  30.0   91
 2.175  100.0  90  42  60   2.344  30.0  30.0   93
 2.175  102.5  90  42  57   2.344 210.0  30.0   96
 2.175  107.5  90  42  57   2.344 210.0  30.0  101
 2.175  110.0  90  42  57   2.344 210.0  30.0  102
 2.175  112.5  90  42  57   2.344 210.0  30.0  104
 2.175  115.0  90  42  57   2.344 210.0  30.0  106
 2.175  117.5  90  42  57   2.344  30.0  30.0  110
 2.175  120.0  90  42  57   2.344 210.0  30.0  111
 2.175  122.5  90  42  57   2.344 210.0  30.0  114
 2.175  125.0  90  42  57   2.344  30.0  30.0  116
 2.175  127.5  90  42  57   2.344 210.0  30.0  119
 2.175  132.5  90  42  57   2.344  30.0  30.0  122
 2.175  135.0  90  42  57   2.344  30.0  30.0  125
 2.175  140.0  90  42  57   2.344 330.0  30.0  132
 2.175  142.5  90  42  60   2.344 330.0  30.0  135
 2.175  145.0  90  42  57   2.344 210.0  30.0  135
 2.175  150.0  90  42  57   2.344  30.0  30.0  138
 2.175  152.5  90  42  57   2.344 210.0  30.0  141
 2.175  155.0  90  42  57   2.344 330.0  30.0  148
 2.175  160.0  90  42  57   2.344  30.0  30.0  148
 2.175  167.5  90  42  57   2.344 330.0  30.0  158
 2.175  170.0  90  42  57   2.344  30.0  30.0  158
 2.175  192.5  90  42  57   2.344  30.0  30.0  179
 2.175   80.0 -90  42  60   3.906 330.0  30.0   78
 2.175   82.5 -90  42  60   3.906 330.0  30.0   81
 2.175   85.0 -90  42  60   3.906 330.0  30.0   84
 2.175   87.5 -90  42  60   3.906 330.0  30.0   86
 2.175   90.0 -90  42  60   3.906 330.0  30.0   89
 2.175   92.5 -90  42  60   3.906 330.0  30.0   91
 2.175   95.0 -90  42  57   3.906 330.0  30.0   93
 2.175   97.5 -90  42  60   3.906 330.0  30.0   95
 2.175  100.0 -90  42  60   3.906 330.0  30.0   99
 2.175  102.5 -90  42  57   3.906 150.0  30.0   98
 2.175  105.0 -90  42  60   3.906  90.0  30.0  100
 2.175  107.5 -90  42  60   3.906  30.0  30.0  103
 2.175  110.0 -90  42  57   3.906 330.0  30.0  108
 2.175  112.5 -90  42  57   3.906  30.0  30.0  107
 2.175  115.0 -90  42  57   2.344 330.0  30.0  112
 2.175  117.5 -90  42  60   2.344 270.0  30.0  112
 2.175  120.0 -90  42  60   2.344 330.0  30.0  120
 2.175  122.5 -90  42  57   2.344 330.0  30.0  122
 2.175  125.0 -90  42  57   2.344  30.0  30.0  120
 2.175  127.5 -90  42  57  -5.469 330.0  30.0  114
 2.175  130.0 -90  42  57   2.344 330.0  30.0  128
 2.175  132.5 -90  42  60   2.344 330.0  30.0  131
 2.175  135.0 -90  42  57   2.344 330.0  30.0  134
 2.175  137.5 -90  42  60   2.344 330.0  30.0  136
 2.175  140.0 -90  42  57   2.344 330.0  30.0  139
 2.175  142.5 -90  42  57   2.344 330.0  30.0  142
 2.175  145.0 -90  42  57  -5.469 330.0  30.0  159
 2.175  147.5 -90  42  60   2.344 150.0  30.0  143
 2.175  150.0 -90  42  60   2.344 330.0  30.0  150
 2.175  152.5 -90  42  57   2.344 150.0  30.0  148
 2.175  155.0 -90  42  57   2.344 330.0  30.0  154
 2.175  157.5 -90  42  60   2.344 330.0  30.0  156
 2.175  160.0 -90  42  60   2.344   0.0   0.0  157
 2.175  162.5 -90  42  57  -5.469 330.0  30.0  148
 2.175  165.0 -90  42  57   2.344 150.0  30.0  160
 2.175  167.5 -90  42  57   2.344 330.0  30.0  166
 2.175  170.0 -90  42  57   2.344 330.0  30.0  174
 2.175  172.5 -90  42  57  -5.469   0.0   0.0  186
 2.175  175.0 -90  42  57  -5.469 330.0  30.0  160
 2.175  177.5 -90  42  57   2.344 330.0  30.0  173
 2.175  182.5 -90  42  57  -5.469 330.0  30.0  169
 2.175  185.0 -90  42  57   2.344 330.0  30.0  187
 2.175  187.5 -90  42  57   2.344 330.0  30.0  192
 2.175  192.5 -90  42  57  -5.469 330.0  30.0  179
 2.175  230.0 -90  42  57  -5.469 150.0  30.0  240
 2.175  972.5 -90  42  57  -3.906  90.0  30.0  969
 2.175  975.0 -90  42  57  -3.906  30.0  30.0  973
 2.350  215.0  90  39  54   2.344  30.0  30.0  218
 2.350  245.0  90  39  54   2.344 330.0  30.0  251
 2.350  282.5  90  39  54  -0.781  30.0  30.0  270
 2.350  285.0  90  39  54   0.781 210.0  30.0  280
 2.350  292.5  90  39  54  -0.781 210.0  30.0  278
 2.350  295.0  90  39  54  -0.781  30.0  30.0  280
 2.350  305.0  90  39  54  -0.781 330.0  30.0  293
 2.350 1252.5  90  39  54   3.906  30.0  30.0 1247
 2.350 1255.0  90  39  54   3.906  30.0  30.0 1248
 2.350 1267.5  90  39  54   3.906 210.0  30.0 1260
 2.375   80.0 -90  42  60   0.781 270.0  30.0   76
 2.375   82.5 -90  42  60   0.781 330.0  30.0   84
 2.375   85.0 -90  42  60   0.781 270.0  30.0   82
 2.375   87.5 -90  42  60   0.781 270.0  30.0   86
 2.375   90.0 -90  42  60   0.781 330.0  30.0   92
 2.375   92.5 -90  42  60   0.781 330.0  30.0   94
 2.375   95.0 -90  42  60   0.781 330.0  30.0   95
 2.375   97.5 -90  42  60   0.781 270.0  30.0   94
 2.375  100.0 -90  42  60   0.781 270.0  30.0   98
 2.375  102.5 -90  42  60   0.781 150.0  30.0  101
 2.375  105.0 -90  42  60   0.781 210.0  30.0  102
 2.375  107.5 -90  42  60   0.781 270.0  30.0  103
 2.375  110.0 -90  42  60   0.781 330.0  30.0  113
 2.375  112.5 -90  42  60   0.781  30.0  30.0  109
 2.375  115.0 -90  42  60   0.781 330.0  30.0  117
 2.375  117.5 -90  42  60   0.781  90.0  30.0  116
 2.375  120.0 -90  42  60   0.781 330.0  30.0  122
 2.375  122.5 -90  42  57   0.781 330.0  30.0  124
 2.375  125.0 -90  42  57   0.781 210.0  30.0  121
 2.375  127.5 -90  42  57   0.781 270.0  30.0  126
 2.375  130.0 -90  42  57   0.781   0.0   0.0  128
 2.375  132.5 -90  42  57   0.781 330.0  30.0  132
 2.375  135.0 -90  42  57   0.781  30.0  30.0  133
 2.375  137.5 -90  42  57   0.781 150.0  30.0  135
 2.375  140.0 -90  42  57   0.781 330.0  30.0  141
 2.375  142.5 -90  42  57   0.781 330.0  30.0  143
 2.375  145.0 -90  42  57   0.781 330.0  30.0  146
 2.375  147.5 -90  42  57   0.781 330.0  30.0  148
 2.375  150.0 -90  42  57   0.781  30.0  30.0  147
 2.375  152.5 -90  42  57   0.781  30.0  30.0  151
 2.375  155.0 -90  42  57   2.344 150.0  30.0  152
 2.725  107.5  90  36  51   0.781   0.0   0.0  113
 2.725  110.0  90  36  54   0.781   0.0   0.0  115
 2.825  107.5  90  36  51  -0.781   0.0   0.0  114
 2.825  110.0  90  36  51  -0.781   0.0   0.0  116
 2.825  112.5  90  36  54  -0.781   0.0   0.0  118
 2.850   87.5  90  39  54   3.906  30.0  30.0   84
 2.850   90.0  90  39  54   3.906 210.0  30.0   86
 2.850   92.5  90  39  54   3.906 210.0  30.0   88
 2.850   95.0  90  39  54   3.906  30.0  30.0   91
 2.850   97.5  90  39  54   3.906  30.0  30.0   93
 2.850  100.0  90  39  54   2.344 210.0  30.0   99
 2.850  102.5  90  39  54   2.344 210.0  30.0  101
 2.850  105.0  90  39  54   2.344 210.0  30.0  103
 2.850  107.5  90  39  54   2.344  30.0  30.0  107
 2.850  110.0  90  39  54   0.781  30.0  30.0  112
 2.850  112.5  90  39  54   0.781 330.0  30.0  114
 2.850  115.0  90  39  54   0.781 150.0  30.0  126
 2.850  910.0  90  39  54  -2.344  30.0  30.0  908
 2.850  912.5  90  39  54  -2.344  30.0  30.0  911
 2.875  112.5  90  39  54   0.781   0.0   0.0  118
 2.900  110.0  90  36  54  -0.781   0.0   0.0  115
 2.900  112.5  90  36  54  -0.781   0.0   0.0  117
 2.900  115.0  90  36  57   0.781   0.0   0.0  119
 2.925  115.0  90  36  51   0.781 270.0  30.0  120
 2.950  112.5  90  42  57  -0.781   0.0   0.0  119
 2.975  115.0  90  36  54  -0.781 150.0  30.0  122
 2.975  117.5  90  36  57   0.781   0.0   0.0  123
 2.975  120.0  90  36  51   0.781   0.0   0.0  122
 3.025  115.0  90  36  54   0.781   0.0   0.0  121
 3.075  120.0  90  39  54   0.781   0.0   0.0  128
 3.075  122.5  90  39  57   0.781   0.0   0.0  129
 3.075  125.0  90  39  54   0.781   0.0   0.0  129
 3.325  127.5  90  36  54   0.781   0.0   0.0  134
 3.325  130.0  90  36  57   0.781   0.0   0.0  135
 3.325  132.5  90  36  54   0.781   0.0   0.0  137
 3.350  125.0  90  42  57   0.781   0.0   0.0  131
 3.350  127.5  90  42  57   0.781   0.0   0.0  132
 3.375  122.5  90  36  57  -0.781   0.0   0.0  129
 3.375  125.0  90  36  54  -0.781   0.0   0.0  128
 3.400  120.0  90  33  54  -0.781   0.0   0.0  127
 3.400  122.5  90  33  57   0.781   0.0   0.0  127
 3.425  120.0  90  36  57   0.781   0.0   0.0  126
 3.425  122.5  90  36  57   0.781   0.0   0.0  126
 3.450  117.5  90  36  51   0.781   0.0   0.0  125
 3.450  120.0  90  36  60   0.781   0.0   0.0  126
 3.450  122.5  90  36  57   0.781   0.0   0.0  126
 3.475  117.5  90  36  54   0.781   0.0   0.0  126
 3.475  120.0  90  36  60   0.781   0.0   0.0  126
 3.475  122.5  90  36  57  -0.781   0.0   0.0  126
 3.500  117.5  90  36  51  -0.781   0.0   0.0  125
 3.500  120.0  90  36  57  -0.781   0.0   0.0  125
 3.525  215.0  90  36  51  -0.781   0.0   0.0  221
 3.525  217.5  90  36  54  -0.781   0.0   0.0  222
 3.525  220.0  90  36  51  -0.781   0.0   0.0  225
 3.550  212.5  90  36  51  -0.781   0.0   0.0  220
 3.550  215.0  90  36  54  -0.781   0.0   0.0  219
 3.575  212.5  90  36  54  -0.781   0.0   0.0  218
 3.575  215.0  90  36  51   0.781   0.0   0.0  219
 3.600  210.0  90  36  51  -0.781   0.0   0.0  218
 3.600  212.5  90  36  54  -0.781   0.0   0.0  218
 3.625  210.0  90  36  51   0.781   0.0   0.0  218
 3.625  212.5  90  36  57  -0.781   0.0   0.0  217
 3.625  215.0  90  36  51  -0.781   0.0   0.0  218
 3.650  212.5  90  39  54  -0.781   0.0   0.0  219
 3.675  212.5  90  33  51  -0.781   0.0   0.0  218
 3.700  210.0  90  36  51  -0.781   0.0   0.0  217
 3.700  212.5  90  36  54  -0.781   0.0   0.0  218
 3.725  212.5  90  39  60  -0.781   0.0   0.0  219
 3.725  215.0  90  39  60  -0.781   0.0   0.0  219
 3.750  215.0  90  39  57  -0.781   0.0   0.0  221
 3.775  212.5  90  36  54  -0.781   0.0   0.0  221
 3.775  215.0  90  36  60  -0.781   0.0   0.0  220
 3.775  217.5  90  36  57  -0.781   0.0   0.0  221
 3.800  215.0  90  36  60  -0.781   0.0   0.0  221
 3.800  217.5  90  36  57  -0.781   0.0   0.0  222
 3.825  215.0  90  36  54  -0.781   0.0   0.0  223
 3.825  217.5  90  36  57  -0.781   0.0   0.0  223
 3.825  220.0  90  36  51  -0.781   0.0   0.0  223
 3.850  217.5  90  42  57  -0.781   0.0   0.0  224
 3.850  220.0  90  42  57  -0.781   0.0   0.0  225
 3.875  217.5  90  36  51  -0.781   0.0   0.0  226
 3.875  220.0  90  36  57  -0.781   0.0   0.0  226
 3.875  222.5  90  36  51  -0.781   0.0   0.0  225
 3.875  127.5 -90  33  48   0.781   0.0   0.0  132
 3.900  220.0  90  36  51   0.781   0.0   0.0  226
 3.900  222.5  90  36  51   0.781   0.0   0.0  227
 3.950  225.0  90  36  51   0.781   0.0   0.0  231
 3.975  227.5  90  33  48  -0.781   0.0   0.0  232
 4.000  230.0  90  33  51  -0.781   0.0   0.0  235
 4.025  232.5  90  36  51  -0.781   0.0   0.0  238
 4.075  235.0  90  33  48   0.781   0.0   0.0  242
 4.075  237.5  90  33  48   0.781   0.0   0.0  242
 4.100  237.5  90  33  54   0.781   0.0   0.0  244
 4.100  240.0  90  33  54   0.781   0.0   0.0  244
 4.100  220.0 -90  33  48  -0.781   0.0   0.0  227
 4.100  222.5 -90  33  48  -0.781   0.0   0.0  226
 4.125  240.0  90  36  54   0.781   0.0   0.0  247
 4.125  242.5  90  36  54  -0.781   0.0   0.0  247
 4.125  220.0 -90  33  48  -0.781   0.0   0.0  226
 4.125  222.5 -90  33  48  -0.781   0.0   0.0  226
 4.150  242.5  90  36  57  -0.781   0.0   0.0  249
 4.150  245.0  90  36  54  -0.781   0.0   0.0  249
 4.150  220.0 -90  33  48  -0.781   0.0   0.0  228
 4.150  222.5 -90  33  48  -0.781   0.0   0.0  228
 4.175  242.5  90  33  48  -0.781   0.0   0.0  250
 4.175  245.0  90  33  57  -0.781   0.0   0.0  251
 4.175  247.5  90  33  51  -0.781   0.0   0.0  252
 4.175  222.5 -90  33  51  -0.781   0.0   0.0  228
 4.175  225.0 -90  33  48  -0.781   0.0   0.0  228
 4.200  245.0  90  33  48  -0.781   0.0   0.0  252
 4.200  247.5  90  33  54  -0.781   0.0   0.0  253
 4.200  250.0  90  33  48  -0.781   0.0   0.0  253
 4.200  222.5 -90  33  48  -0.781   0.0   0.0  229
 4.200  225.0 -90  33  48  -0.781   0.0   0.0  229
 4.225  247.5  90  36  51   0.781   0.0   0.0  255
 4.225  250.0  90  36  51   0.781   0.0   0.0  256
 4.225  225.0 -90  33  48   0.781   0.0   0.0  230
 4.250  250.0  90  36  51  -0.781   0.0   0.0  257
 4.250  252.5  90  36  51   0.781   0.0   0.0  257
